Title,Price,GPU_Category,VRAM,Description,Link
Geforce GTX 1660 super,100.00,1660,Unknown,"Lisätiedot
			Msi Geforce GTX ventus XS OC editionOstettu 23.2.2020Käytetty ainoastaan pelailuun ( ei joka päiväiseen
) Ei louhittu.Erinomainen kunto, suoraan käytöstä, myyn uuden
tieltä pois. Täydellinen pakkaus.Käteiskaupat. Nouto Itäkeskuksessa.Ominaisuudet:Piiri: GeForce GTX 1660 SuperCUDA-ydinten määrä: 1408Kellotaajuus: 1830 MHz (Boost)Muisti: 6144 Mt, 192-bit GDDR6Muistin kellotaajuus: 14000 MHzVäylä: PCI-Express 3.01 x HDMI 2.0b, 3 x Display Port 1.4Maksimiresoluutio: 7680 x 4320Näyttöjen maksimimäärä: 4NVLink/SLI-tuki: EiNVIDIA PhysX, CUDAAdaptive V-Sync -tukiG-SYNC -tukiOpenGL 4.5Mitat: 20,4 x 12,8 x 4,2 cmVirtaliittimet: 1 x 8-pinVirrankulutus: 125 WVirtalähdesuositus: 450 W",https://www.tori.fi/uusimaa/Geforce_GTX_1660_super_118901949.htm?ca=18&w=1
V: Asus Strix Rtx 4080 Gaming Oc - Rtx 3-4k sarja,1200.00,3080,Unknown,"Lisätiedot
			Tästä tykki kortti uuteen kotiin! En näe omassa tarpeessa millään järkeväksi näin
tykkiä korttia eli hakusessa ois vaihto johonkin
tehottomampaan 3-4k sarjalaiseen, ensisijaisesti
3080 - 4070 väliinKäy ja kukkuu niinkuin kuuluukin ja mukaan
tietenkin kuitti ja alkuperäishilppeet mitä mukana
tuli laatikoineen. Pelailtu randomisti 4k töllöllä autopelejä mutta
sekin laskettavissa 2 käden sormilla.",https://www.tori.fi/uusimaa/V__Asus_Strix_Rtx_4080_Gaming_Oc___Rtx_3_4k_sarja_118887960.htm?ca=18&w=1
RTX 3060 Ti (HP),250.00,3060,Unknown,"Lisätiedot
			Nappaan kuvan illalla, kun kerkeän. Myyntiin toisen isomman kortin tieltä. Tällä
pyörii esim. Apex Legends 1440p resolla pysyen
miltei koko ajan 144fps 144Hz näytöllä. Kyllä
kelpaa :)",https://www.tori.fi/uusimaa/RTX_3060_Ti__HP__118887142.htm?ca=18&w=1
Asus Radeon RX 6600 Dual 8GB näytönohjain,170.00,6600,8gb,"Lisätiedot
			Myydään toimivana käytöstä poistettu Asus Radeon
RX 6600 Dual 8Gb GDDR6 - näytönohjain. Ostettu
uutena 22.11.2022, mistä alkaen 3v. Takuu. Kuitti
löytyy.",https://www.tori.fi/uusimaa/Asus_Radeon_RX_6600_Dual_8GB_naytonohjain_118906643.htm?ca=18&w=1
Asus RTX 2070 Super,300.00,1080,Unknown,"Lisätiedot
			Täysin toimiva 2019 vuoden lippulaiva. Pyörittää
uusiakin pelejä 1440p hyvin ja 1080p kuin sulaa
voita pannulla. Lähtee myyntiin 4070 alta
pyörimästä. Ei postitusta, vain nouto.
Alkuperäinen pakkaus ehkä jossain, mutta en
löytänyt tähän hätään.",https://www.tori.fi/uusimaa/Asus_RTX_2070_Super_118664632.htm?ca=18&w=1
Asus Strix GTX 970,40.00,970,Unknown,"Lisätiedot
			Myynnissä Asus Strix GTX 970 -näytönohjain.Näytönohjain toimii ilman ongelmia, muttadisplayport portti ei aina herätä näyttoä.Kortti on noin GTX 1050ti /GTX 1060 -tasoinen.Jos on kysyttävää, niin laitaviestiä.",https://www.tori.fi/uusimaa/Asus_Strix_GTX_970_118664210.htm?ca=18&w=1
"EVGA 1050ti - Superclocked -näytönohjain, GPU",69.00,1050,Unknown,"Lisätiedot
			Pyydä parempaa kuvaa jos olet kiinnostunut; en
vaivautunut irrottaa korttia koneesta ennen
kysyjiä.Kortti toimii edelleen niin kuin pitää, eli
pyörittää useimpia pelejä mid-asetuksilla ja
moderneja AAA pelejä minimiasetuksilla.Tarjoa tai kysy lisää",https://www.tori.fi/uusimaa/EVGA_1050ti___Superclocked__naytonohjain__GPU_118283369.htm?ca=18&w=1
Asus strix gtx 960,30.00,960,Unknown,"Lisätiedot
			hyväkuntoinen näytönohjain useimmat pelit pyörii
hyvinhaku hyvinkää",https://www.tori.fi/uusimaa/Asus_strix_gtx_960_118626649.htm?ca=18&w=1
MSI Nvidia GeForce GTX 1070 ARMOR 8G OC,99.00,1070,Unknown,"Lisätiedot
			Hyvä ja hiljainen näytönohjain.Valmistajan antamat tiedot:Core/MemoryBoost Clock / Base Clock1746 MHz / 1556 MHz8192 MB GDDR5 / 8008 MHz MemoryVideo Output FunctionDisplayPort x 3HDMI x 1Dual-link DVI-D x 1FeaturesVirtual Reality ReadyDirectX 12 ReadyGreat for 4KGamestream to NVIDIA SHIELD",https://www.tori.fi/uusimaa/MSI_Nvidia_GeForce_GTX_1070_ARMOR_8G_OC_118612158.htm?ca=18&w=1
Diamond Viper TNT V550 16MB AGP,25.00,Unknown,Unknown,"Lisätiedot
			Diamond Viper TNT V550 16MB AGP Passeli näytönohjain retroiluun. Toimii.Nouto tai postitus +7e.Hakusanoja: retro ibm pc glide 3dfx multimedia",https://www.tori.fi/uusimaa/Diamond_Viper_TNT_V550_16MB_AGP_118580473.htm?ca=18&w=1
Rx 5600 xt,130.00,5600,Unknown,"Lisätiedot
			Myydään hyväkuntoinen näytönohjain. Kortilla ei
ole louhittu ja käytetty vain pelaamiseen. Lämmöt
eivät ole nousseet yli 60 asteeseen. Nouto
Helsingistä",https://www.tori.fi/uusimaa/Rx_5600_xt_118571647.htm?ca=18&w=1
Tuf-gtx1660s 6gb,100.00,1660,6gb,"Lisätiedot
			Myydään hyväkuntoinen TUF GTX 1660S",https://www.tori.fi/uusimaa/Tuf_gtx1660s_6gb_118549285.htm?ca=18&w=1
Asus ROG STRIX RX5600XT 6G GAMING,140.00,5600,Unknown,"Lisätiedot
			Myynnissä Asus ROG STRIX RX5600XT O6G GAMING
Radeon näytönohjain koneen päivittämisen alta pois",https://www.tori.fi/uusimaa/Asus_ROG_STRIX_RX5600XT_6G_GAMING_118546396.htm?ca=18&w=1
Näytönohjain - MSI GeForce GTX 960 Gaming 2GB,45.00,960,2gb,"Lisätiedot
			MSI GeForce GTX 960 Gaming HDMI 3xDP 2GBVoit soittaa, tai tekstata minulle numeroon...WhatsApp:lla sekä normaalisti:Puh. 0400516246Muista katsella muutkin Tori-ilmoitukseni.Kirjainmerkitse Kaikki-Ilmoitukseni Sivut...(Myytävä vaihtuu Usein.)Otan Kaikenlaisia Tarjouksia Vastaan...",https://www.tori.fi/uusimaa/Naytonohjain___MSI_GeForce_GTX_960_Gaming_2GB_118519247.htm?ca=18&w=1
Asus rtx 3060ti gaming,340.00,3060,Unknown,"Lisätiedot
			Tarpeeton toimiva näytönohjain. Takuu voimassa.Ei vaihtoa.",https://www.tori.fi/uusimaa/Asus_rtx_3060ti_gaming_118503746.htm?ca=18&w=1
MSI Geforce GTX 1060 6GT OCV1 6GB PCI-E,60.00,1060,6gb,"Lisätiedot
			Myynnissä ylimääräiseksi jäänyt GTX1060 6GB,
hyvässä kunnossa. Lämmöt seurattu säännöllisesti
ja aina viileänä pysynyt. Pyörittää mukavasti
valtaosan peleistä, ihan uusimmat pelit alkavat
jäämään hieman jälkeen tässä raudassa.Ominaisuudet:Piiri: GeForce GTX 1060 1544 MHz (boost clock 1759
MHz)Muisti: 6144 Mt, GDDR5, 8008 MHzVäylä: PCI-Express 3.0Dual-link DVI, HDMI, Display PortNVIDIA PhysX, CUDAHDCP-tukiG-SYNC -tukiAdaptive V-Sync -tuki3D Vision Surround -tukiVain nouto Järvenpää / KinnariMobilepay tai käteinen.",https://www.tori.fi/uusimaa/MSI_Geforce_GTX_1060_6GT_OCV1_6GB_PCI_E_118498003.htm?ca=18&w=1
Gtx460 ja Radeon HD6750,25.00,6750,Unknown,"Lisätiedot
			Radeon täysin käyttövalmis. Erikoisuutena 2xMiniDP
+ perusliittimet.Nvidia ilman jäähyä. Molemmat kuvissa näkyvät saa
helposti askarreltua kiinni.Nouto Pasilasta.",https://www.tori.fi/uusimaa/Gtx460_ja_Radeon_HD6750_118478138.htm?ca=18&w=1
GTX 1070 Strix,99.00,1070,Unknown,"Lisätiedot
			Siitä hyvä näyttis pelaukseen.Ollu itsellä koneessa pelikäytössä nyt viitisen
vuotta. Lähettää en voi koska laatikkoa ei ole.
Ainoa miinus on että on aika pölynen.",https://www.tori.fi/uusimaa/GTX_1070_Strix_118475800.htm?ca=18&w=1
Nvidia RTX 3060 näytönohjain,190.00,3060,Unknown,"Lisätiedot
			Lyhyt, 2 tuulettimen malli. Ollut käytössä puoli
vuotta. Uutta vastaava kunto",https://www.tori.fi/uusimaa/Nvidia_RTX_3060_naytonohjain_118475750.htm?ca=18&w=1
Gtx 770,40.00,Unknown,Unknown,"Lisätiedot
			toimiva näytönohjain tarjousta vastaan",https://www.tori.fi/uusimaa/Gtx_770_118473247.htm?ca=18&w=1
Asus TUF Geforce RTX 3070 OC,400.00,3070,Unknown,"Lisätiedot
			Otsikon mukainen näytönohjain, täydellinen
myyntipakkaus ja kuitti löytyy. Ainoastaan nouto tai toimitus kaupat pk-seudulla.
Ei postitusta.",https://www.tori.fi/uusimaa/Asus_TUF_Geforce_RTX_3070_OC_118469040.htm?ca=18&w=1
MSI GeForce GTX 1050 2GB,30.00,1050,2gb,"Lisätiedot
			Täysin toimiva ja hyväkuntoinen näytönohjain
kevyeen pelaamiseen. Ei vaadi lisävirtaa, eli
soveltuu hyvin esimerkiksi toimistokoneen
muuntamiseksi pelikäyttöön.",https://www.tori.fi/uusimaa/MSI_GeForce_GTX_1050_2GB_118456424.htm?ca=18&w=1
GeForce RTX 2080 Ventus 8G näytönohjain,280.00,2080,Unknown,"Lisätiedot
			Täysin toimiva ja tehokas, pelkästään pelikäytössä
ollut näytönohjain. Myydään uuden tieltä pois.Kaupat mieluiten kasvotusten.",https://www.tori.fi/uusimaa/GeForce_RTX_2080_Ventus_8G_naytonohjain_118456148.htm?ca=18&w=1
Asus tuf RTX 3080,500.00,3080,Unknown,"Lisätiedot
			Puolitoista kuukautta on ollut käytössä, takuuta
17.04.2025 asti tingitty valmis",https://www.tori.fi/uusimaa/Asus_tuf_RTX_3080_118445185.htm?ca=18&w=1
Näytönohjain Asus 3060Ti Tuf gaming,300.00,3060,8gb,"Lisätiedot
			Näytönohjain Asus 3060Ti Tuf gaming oc 8gb lhr",https://www.tori.fi/uusimaa/Naytonohjain_Asus_3060Ti_Tuf_gaming_118428908.htm?ca=18&w=1
Palit GeForce GTX 1050Ti 4Gb,70.00,1050,4gb,"Lisätiedot
			Palit GeForce GTX 1050Ti 4Gb hyvässä kunnossa",https://www.tori.fi/uusimaa/Palit_GeForce_GTX_1050Ti_4Gb_118420194.htm?ca=18&w=1
"Näytönohjain, emolevy ja virtalähde",30.00,Unknown,Unknown,"Lisätiedot
			Tästä n. 15v vanhat osat toimivassa kunnossa.
Emolevy ja virtalähde ehkä n. 4v käytettyjä ja
näytönohjain vuoden.Nyt seisseet yli 10v.Vain nouto.",https://www.tori.fi/uusimaa/Naytonohjain__emolevy_ja_virtalahde__118418668.htm?ca=18&w=1
Msi rtx 3070ti,450.00,3070,Unknown,"Lisätiedot
			Takuu voimassa noin vuoden.Ei vaihtoa.",https://www.tori.fi/uusimaa/Msi_rtx_3070ti_118406024.htm?ca=18&w=1
PNY XLR8 GTX 1660 Ti Gaming OC,110.00,1660,Unknown,"Lisätiedot
			Myyntiin noin vajaan vuoden verran käytössä ollut
näytönohjain. Ostettu torista käytettynä.
Alunperin ostettu Gigantista tammikuussa 2020.
Ollut ainoastaan pelikäytössä ITX kokoonpanossa,
ei mainattu.Vaihdettu hiljattain lämpötahnat sekä puhallettu
pahimmat pölyt pois.Voin lähettää kortin (ostajan kustannuksella),
mutta mieluiten nouto.",https://www.tori.fi/uusimaa/PNY_XLR8_GTX_1660_Ti_Gaming_OC_118370192.htm?ca=18&w=1
Gigabyte GTX 1650 OC LP - 4GB GDDR5,100.00,1650,4gb,"Lisätiedot
			Gigabyten matalaprofiilinen näytönohjain kaupan.
Ostettu vuoden 2020 kesällä Proshopista (kuitti
löytyy, 2 vuoden takuu päättynyt). Ollut omassa käytössä vuoden verran, ITX
kokoonpanossa peli sekä mediakäytössä. Vaihdettu lämpötahnat hiljattain sekä puhallettu
pahimmat pölyt pois.Mukana alkuperäinen laatikko sekä hilppeet mitä
kortin mukana tullut.Voin lähettää kortin (ostajan kustannuksella),
mutta mieluiten nouto.",https://www.tori.fi/uusimaa/Gigabyte_GTX_1650_OC_LP___4GB_GDDR5_118369326.htm?ca=18&w=1
Asus GTX 580 DirectCUII,60.00,580 ,Unknown,"Lisätiedot
			Laadukas näytönohjain budjettikoneeseen. Itse
pelaillut tällä ja pyörittää hyvin vanhempia
pelejä. Memory size: 1536 MBMemory type: GDDR5Memory clock: 1002 MHzMemory clock (effective): 4008 MHzPortit:2x DVI1x HDMI 1.3a1x DisplayPortVoin toimittaa Matinkylän lähettyvillä ja samoin
Kirkkonummen.",https://www.tori.fi/uusimaa/Asus_GTX_580_DirectCUII_118362400.htm?ca=18&w=1
Asus Strix GTX 980 Ti 6GB,100.00,980,6gb,"Lisätiedot
			Myydään ylimääräiseksi jäänyt näytönohjain.
Käytetty ainoastaan kevyehköön pelaamiseen (GTA V
,1080p). Pölyt puhallettu pois koneesta
irroittamisen jälkeen ja lämpötahnat vaihdettu
viime talvena.",https://www.tori.fi/uusimaa/Asus_Strix_GTX_980_Ti_6GB_118305543.htm?ca=18&w=1
Nvidia Geforce 1060 6GB,100.00,1060,6gb,"Lisätiedot
			Hei, myyn Nvidia Geforce 1060 6GB näytönohjaimen
paremman alta pois.Nouto Kivistöstä tai pk seudun alueella. Maksu
käteinen tai mobilepay",https://www.tori.fi/uusimaa/Nvidia_Geforce_1060_6GB_118264828.htm?ca=18&w=1
PNY 1660Super,99.00,1060,6gb,"Lisätiedot
			The GeForce® GTX 1660 SUPER is up to 20% faster
than the original GTX 1660 and up to 1.5X faster
than the previous-generation GTX 1060 6GB. Powered
by the award-winning NVIDIA Turing architecture
and ultra-fast GDDR6 memory, it's a supercharger
for today's most popular games. Time to gear up
and get SUPER.Experience the breakthrough graphics performance
of the award- winning NVIDIA Turing architecture
with GeForce® GTX 16 Series graphics cards and
laptops. Upgrade your PC for performance that's
blazing-fast on today's most popular games, and
even faster with modern titles. Step up to GeForce
GTX.Now the new GeForce GTX SUPER Series has
ultra-fast GDDR6 memory, bringing you performance
that's up to 50% faster than the original GTX 16
Series and up to 2X faster than
previous-generation 10 Series GPUs. It's time to
gear up and get SUPER.KEY FEATURESBased on Turing ArchitectureNVIDIA GeForce ExperienceNVIDIA AnselNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft® DirectX® 12 API, Vulkan API, OpenGL 4.6HDCP 2.2NVIDIA GPU BoostVR ReadySYSTEM REQUIREMENTSPCI Express-compliant motherboard with one
dual-width x16 graphics slotOne 8-pin supplementary power connector450 W or greater system power supply21.5GB available hard-disk space8GB system memory (16GB or higher recommended)Microsoft Windows 10 (April 2018 Update or later),
Windows 7 64-bit, Linux 64-bitInternet connection3",https://www.tori.fi/uusimaa/PNY_1660Super_118246115.htm?ca=18&w=1
Asus 2070 Dual OC,199.00,2070,Unknown,"Lisätiedot
			Hyvässä kunnnossa työpöytäkäytöstä. Nouto
etusijalla. Juuri puhdistettu.KAHDEN TUULETTIMEN RAKENNEASUS Dual GeForce® RTX 2070 8G -näytönohjaimessa
suorituskyky ja yksinkertaisuus yhdistyvät
ennennäkemättömällä tavalla, ja se tarjoaa
uusimman NVIDIA Turing -pelikokemuksen
aidoimmillaan. Dual GeForce® RTX 2070 8G
-näytönohjaimessa hyödynnetään
STRIX-lippulaivanäytönohjaimesta johdettua
edistyksellistä jäähdytystekniikkaa, ja teho on
nostettu tyylin yläpuolelle. Siksi se on
täydellinen valinta tasapainotettuun kokoonpanoon.
Valmistaudu huippuluokan pelielämykseen.PATENTOIDUT SIIPITUULETTIMETPatentoitu siipituuletinrakenne on viileä ja
hiljainen, ja perinteisiin aksiaalituulettimiin
verrattuna sen jäähdytyselementtiin kohdistama
staattinen paine on 105 prosenttia suurempi.
IP5X-pölysuojaus estää hiukkasten pääsyn
tuulettimen sisäosiin ja takaa sujuvan toiminnan.0 DESIBELIN TEKNIIKKA0 desibelin tekniikan ansiosta tuulettimet
lakkaavat pyörimästä, kun grafiikkasuorittimen
ytimen lämpötila pysyy alle 55 celsiusasteessa.
Voit siis nauttia pelaamisesta täydellisessä
hiljaisuudessa. Jos lämpötila nousee, tuulettimet
käynnistyvät automaattisesti.2,7-PAIKKAINEN RAKENNETämän sukupolven parhaimmissa näytönohjaimissa on
2,7-paikkainen rakenne suurempaa
jäähdytyselementtiä varten, koska koolla on tässä
tapauksessa merkitystä. Olemme laajentaneet
jäähdytysjärjestelmän kokonaispinta-alaa yli 50
prosentilla aiempaan sukupolveen verrattuna. Jos
haluat saada kaiken mahdollisen irti Dual GeForce®
RTX 2070 8G -näytönohjaimen suorituskyvystä, uusin
rakenteemme tarjoaa huomattavasti enemmän
pelivaraa lämpötilaa ja ylikellottamista
ajatellen. Jos taas tavoittelet huippuluokan
plug-and-play-kokemusta, lämmön lisähajaantuminen
pitää tuulettimet käynnissä alhaisemmilla
nopeuksilla pelaamisen aikana.NVIDIA® G-SYNC -TEKNIIKKADual GeForce® RTX 2070 8G -näytönohjaimen NVIDIA®
G-SYNC -näyttötekniikka mahdollistaa sulavimman ja
nopeimman pelikokemuksen, jonka voit kuvitella. Se
eliminoi näytön repeilyn sekä minimoi kuvan
nykimisen ja näyttöviiveen. Nauti uusimmista FPS-,
urheilu- ja toimintaseikkailupeleistä
huippunopealla kuvataajuudella  myös
grafiikka-asetusten ollessa korkeimmalla tasolla!",https://www.tori.fi/uusimaa/Asus_2070_Dual_OC_118245753.htm?ca=18&w=1
Radeon 5600 xt näytönohjain,140.00,5600,Unknown,"Lisätiedot
			Sapphire radeon 5600 xt pulse näytönohjain.
Pelattu cs:go, ei juuri muuta... Kortissa korkeampien kellotaajuuksien bios
(https://www.pcgamer.com/sapphire-details-how-to-update-its-radeon-rx-5600-pulse-bios-to-make-it-run-faster/). Voi myös tarjota vähemmän, jos hinta on mielestäsi
kohtuuton. Mut menee ekalle täyden hinnan
tarjoajalle.",https://www.tori.fi/uusimaa/Radeon_5600_xt_naytonohjain__118237422.htm?ca=18&w=1
Evga GTX970 4gb näytönohjain,35.00,970,4gb,"Lisätiedot
			Evga geforce GTX970 SSC 4GBToimii moitteitta.Hyvin pelasi BF4, csgo, lol, dayz, mutta esim.
squad ei enää pyöri siedettävästi.",https://www.tori.fi/uusimaa/Evga_GTX970_4gb_naytonohjain_118226475.htm?ca=18&w=1
ASUS Radeon RX580 DUAL 8GB,130.00,580 ,8gb,"Lisätiedot
			Hyvässä kunnossa oleva näyttis nyt halvalla uuteen
kotiin Noin vuoden verran oli itsellä käytössä ja
uuden tilalta myyn nyt pois :) Speksit voitte
katsoa itse -> https://www.asus.com/motherboards-components/graphics-cards/dual/dual-rx580-8g/Rohkeesti viestiä vain ja juttelemaan myös hinta
ei ole kiveen hakattu  0406887121 parhaiten saa viestillä kiinni jos
uudet viestit eivät tule täällä lävitse :) t.jesse",https://www.tori.fi/uusimaa/ASUS_Radeon_RX580_DUAL_8GB_118226342.htm?ca=18&w=1
Tesla K80 24GB,150.00,Unknown,24gb,"Lisätiedot
			Myynnissä Tesla K80 24GB ram. Kortti vähän
kärsineen näköinen ulkoisesti koska irroitin
kaiken ylimääräisen kortin kuoresta jotta
jäähdytys toimi paremmin. Tässä kortissa ei ole
ulostuloa näyttöön eli toimii apuna tehoa
vaativassa käytössä. Nouto Helsinki 00410.",https://www.tori.fi/uusimaa/Tesla_K80_24GB_118216338.htm?ca=18&w=1
RTX 3050 kaupan,215.00,3050,8gb,"Lisätiedot
			Tässä Olisi erittäin vähän käytetty RTX 3050 8GB.Tuli koneen mukana ja vaihdettiin pienen käytön
jälkeen toiseen näytönohjaimeen. Eli tämä jäi
tarpeettomaksi",https://www.tori.fi/uusimaa/RTX_3050_kaupan_118066618.htm?ca=18&w=1
Msi rx480 8gt,40.00,480,Unknown,"Lisätiedot
			Toimistokoneesta irrotettu, täysin toimiva.",https://www.tori.fi/uusimaa/Msi_rx480_8gt_118180249.htm?ca=18&w=1
Asus strix gtx 960 4gb,40.00,960,4gb,"Lisätiedot
			Myydään käyttämättömäksi jäänyt asuksen strix
kortti. Käytetty enimmäkseen csgo ja cs2
pelaamiseen. Lämpötahnat suosittelen vaihtamaan. Hinta 40/tarjous. Postitus +5,90.Sijaitsee vantaalla",https://www.tori.fi/uusimaa/Asus_strix_gtx_960_4gb_118177951.htm?ca=18&w=1
ASUS Geforce GTX 1080 Ti Turbo vesiblokilla,210.00,1080,Unknown,"Lisätiedot
			Täysin kunnossa ja suoraan PC:stäni. Mukaan myös
alkuperäinen ilmajäähdytin. Voin asentaa kumman
jäähdyttimen vain haluat.",https://www.tori.fi/uusimaa/ASUS_Geforce_GTX_1080_Ti_Turbo_vesiblokilla_118160660.htm?ca=18&w=1
Gigabyte GTX 1080ti 11gb,240.00,1080,11gb,"Lisätiedot
			Siitä uuden tieltä, todella hyvä kortti vielä
peleihin tai editointi hommiin pitkäksi aikaan. Tän kortin kanssa olen käyttänyt vesijäähyä
ainoastaan ja asensin juuri tuon originaali jäähyn
takaisin samalla uudet tahnat sisään.",https://www.tori.fi/uusimaa/Gigabyte_GTX_1080ti_11gb_118118782.htm?ca=18&w=1
MSI GeForce RTX 3060 Ti 8GB (varattu),300.00,3060,8gb,"Lisätiedot
			Yllä mainittu näytönohjain. Takuu voimassa.Mieluiten nouto viikistä",https://www.tori.fi/uusimaa/MSI_GeForce_RTX_3060_Ti_8GB__varattu__118114475.htm?ca=18&w=1
Tuf rx 5700 8gb,200.00,5700,8gb,"Lisätiedot
			Myydään yllä mainittu näytönohjain.Mieluiten nouto viikistä",https://www.tori.fi/uusimaa/Tuf_rx_5700_8gb_118113410.htm?ca=18&w=1
Kfa2 Gtx 1660ti,100.00,1660,Unknown,"Lisätiedot
			Myydään 4kpl kfa2 gtx1660ti kortteja.Kortit on täysin kunnossa olevat ja toimii niin
kuin pitää.On puhdistettu ja pidetty huolta näistä.Ei ongelmia lämpöjen kanssa ynm.Kaikkiin löytyy alkuperäiset laatikot.100e/kpl.Noutona tai postitettuna.Postituksiin lisätään kulut 10.90eRahat tilille ja paketti postiin kuin näkyy
tilillä.Hinta tingitty valmiiksi!",https://www.tori.fi/uusimaa/Kfa2_Gtx_1660ti_118057428.htm?ca=18&w=1
AMD RX 6800 16gb XFX Swft,500.00,6800,16gb,"Lisätiedot
			ostettu verkkokaupasta 11/2021 takuu voimassa.
olen kortin toinen omistaja ja kortti ollu itsellä
vuoden verran ja ollut vain pelikäytössä",https://www.tori.fi/uusimaa/AMD_RX_6800_16gb_XFX_Swft_118025720.htm?ca=18&w=1
Radeon RX 580 MSI Gaming X 8GB,69.00,1080,8gb,"Lisätiedot
			Vaihdoin itse tehokkaampaan näyttikseen. Täysin
toimiva, pyörii hyvin 1080p pelit tällä vehkeellä.
Pystyy ylikellottamaan hiukan, mutta ei
tarpeellista. Nouto Espoosta / Helsingistä Kortista löytyy:PCI Express X 16 8GB GDDR52x DisplayPort, 2x HDMI ja DL-DVI-D portitDirectX12 optimoitu 1 x 8-pin virtaliitäntäMitat: 276 X 140 X 42mm Crossfire 2 teknologia Suosittelisin väh. 500W virtalähteen kaveriksi",https://www.tori.fi/uusimaa/Radeon_RX_580_MSI_Gaming_X_8GB_118014427.htm?ca=18&w=1
Msi GeForce GTX 1060 AERO ITX 6GB OC,70.00,1060,6gb,"Lisätiedot
			Msi GeForce GTX 1060 AEROITX 6GB OC",https://www.tori.fi/uusimaa/Msi_GeForce_GTX_1060_AERO_ITX_6GB_OC_118005767.htm?ca=18&w=1
Asus GTX 970 turbo näytönohjain,80.00,970,Unknown,"Lisätiedot
			Asus GTX 970 turbo näytönohjain. Toimiva, useamman
vuoden vanha. Ostaja maksaa mahdolliset
postituskulut.",https://www.tori.fi/uusimaa/Asus_GTX_970_turbo_naytonohjain_118004317.htm?ca=18&w=1
3080 ASUS tuf gaming OC 12gb,680.00,3080,12gb,"Lisätiedot
			Reilu vuoden pelikäytössä ollut näytönohjain
väistyy uudemman tieltä.. mukaan alkuperäinen
paketti ja tukirauta.",https://www.tori.fi/uusimaa/3080_ASUS_tuf_gaming_OC_12gb_117989609.htm?ca=18&w=1
Gigabyte GeForce GTX 1660 Ti OC 6GB,180.00,1660,6gb,"Lisätiedot
			Täysin toimiva ja vähävirtainen näytönohjain.
ostettu 14.12.2021 eli takuu voimassa vielä 2024
vuoden loppuun. Kuitti tallessa.",https://www.tori.fi/uusimaa/Gigabyte_GeForce_GTX_1660_Ti_OC_6GB_117989135.htm?ca=18&w=1
Rx570 4gb GPU näytönohjaimet,55.00,570 ,4gb,"Lisätiedot
			Omalla vanhemmalla koneella käytetään rx 570 4gb
näytönohjaimet",https://www.tori.fi/uusimaa/Rx570_4gb_GPU_naytonohjaimet_117942799.htm?ca=18&w=1
Gtx 970,70.00,970,Unknown,"Lisätiedot
			Hyvässä kunnossa, ollut vähällä käytöllä.",https://www.tori.fi/uusimaa/Gtx_970_117926194.htm?ca=18&w=1
Sapphire Radeon RX 580 Nitro+ 8GB,100.00,580 ,8gb,"Lisätiedot
			Otsikon mukainen n 3v käyttämättömänä seissyt
näytönohjain",https://www.tori.fi/uusimaa/Sapphire_Radeon_RX_580_Nitro__8GB_115968737.htm?ca=18&w=1
Asus Geforece GTX 1060 6GB,100.00,1060,6gb,"Lisätiedot
			Otsikon mukainen kolme vuotta käyttämättömänä
seissyt näytönohjain",https://www.tori.fi/uusimaa/Asus_Geforece_GTX_1060_6GB_115968777.htm?ca=18&w=1
GTX 1660 Ti Näytönohjain,200.00,1660,Unknown,"Lisätiedot
			Tarpeettomaksi jäänyt. Moitteettomassa kunnossa.
Ei ole mainattu. Ostettu noin 3v sitten.Ominaisuudet:    Piiri: GeForce GTX 1660 Ti (Boost 1830 MHz)    Muisti: 6144 Mt, 192-bit GDDR6 12000 MHz    Väylä: PCI-Express 3.0    1 x HDMI 2.0b, 3 x Display Port 1.4    G-SYNC -tuki    VR READY -tuki    OpenGL 4.5    DirectX 12    Mitat: 20,4 x 12,8 x 4,2 cm    Virtaliittimet: 1 x 8-pin    Virrankulutus: 120 W    Virtalähdesuositus: 450 W",https://www.tori.fi/uusimaa/GTX_1660_Ti_Naytonohjain_116868220.htm?ca=18&w=1
Gigabyte geforce gtx 1070 g1 gaming 8g,130.00,1070,Unknown,"Lisätiedot
			Päivitin pelikoneen reilu vuosi sitten ja tuo
jäänyt käyttämättömänä kaappiin istumaan. Hyvässä
kunnossa kuten kuvista näkyy ja raskain rasitus
ollut HTC Vivellä Fallout 4:n pelaaminen.",https://www.tori.fi/uusimaa/Gigabyte_geforce_gtx_1070_g1_gaming_8g_113963695.htm?ca=18&w=1
IGame GeForce RTX 3060 Advanced OC 12G,260.00,3060,12gb,"Lisätiedot
			Piirisarja: GeForce® RTX 3060Muisti    : 12GBKoko      : 315.5*131*53mmwebsite   :
https://en.colorful.cn/en/home/product?mid=102&id=1837Tehokas, hiljainenSiisti, pakettiboxin kanssa",https://www.tori.fi/uusimaa/IGame_GeForce_RTX_3060_Advanced_OC_12G_117736438.htm?ca=18&w=1
Radeon vega 56,110.00,Vega,Unknown,"Lisätiedot
			Sapphire Radeon rx vega 56 pulse, 8gt HBM2
muistilla. Toimi hyvin. Tehtud benchmark 3Dmark
Free versio ja heaven uniginella. Teatatud 8k
video.",https://www.tori.fi/uusimaa/Radeon_vega_56_117682257.htm?ca=18&w=1
